"Woningtype";"Bouwjaarklasse";"Perioden";"Regio's";"Beginstand woningvoorraad (aantal)";"Gemiddelde oppervlakte (m2)"
"Totaal";"1945 tot 1955";"2017";"Amsterdam";16729;60
"Totaal";"1945 tot 1955";"2018";"Amsterdam";16505;61
"Totaal";"1945 tot 1955";"2019";"Amsterdam";16328;61
"Totaal";"1945 tot 1955";"2020";"Amsterdam";15989;62
"Totaal";"1945 tot 1955";"2021";"Amsterdam";16010;62
"Totaal";"1945 tot 1955";"2022";"Amsterdam";16022;62
"Totaal";"1945 tot 1955";"2023";"Amsterdam";16408;63
"Totaal";"1945 tot 1955";"2024";"Amsterdam";16435;63
"Totaal";"1945 tot 1955";"2025";"Amsterdam";16445;63
"Totaal";"1945 tot 1955";"2026";"Amsterdam";16167;65
"Totaal";"1945 tot 1955";"2012";"'s-Gravenhage (gemeente)";16000;73
"Totaal";"1945 tot 1955";"2013";"'s-Gravenhage (gemeente)";15974;73
"Totaal";"1945 tot 1955";"2014";"'s-Gravenhage (gemeente)";16111;73
"Totaal";"1945 tot 1955";"2015";"'s-Gravenhage (gemeente)";16213;73
"Totaal";"1945 tot 1955";"2016";"'s-Gravenhage (gemeente)";16213;73
"Totaal";"1945 tot 1955";"2017";"'s-Gravenhage (gemeente)";16108;73
"Totaal";"1945 tot 1955";"2018";"'s-Gravenhage (gemeente)";16086;73
"Totaal";"1945 tot 1955";"2019";"'s-Gravenhage (gemeente)";16094;73
"Totaal";"1945 tot 1955";"2020";"'s-Gravenhage (gemeente)";16132;73
"Totaal";"1945 tot 1955";"2021";"'s-Gravenhage (gemeente)";16080;73
"Totaal";"1945 tot 1955";"2022";"'s-Gravenhage (gemeente)";15821;74
"Totaal";"1945 tot 1955";"2023";"'s-Gravenhage (gemeente)";15616;74
"Totaal";"1945 tot 1955";"2024";"'s-Gravenhage (gemeente)";15606;74
"Totaal";"1945 tot 1955";"2025";"'s-Gravenhage (gemeente)";15609;74
"Totaal";"1945 tot 1955";"2026";"'s-Gravenhage (gemeente)";15606;74
"Totaal";"1945 tot 1955";"2012";"Rotterdam";17471;73
"Totaal";"1945 tot 1955";"2013";"Rotterdam";17574;73
"Totaal";"1945 tot 1955";"2014";"Rotterdam";17533;71
"Totaal";"1945 tot 1955";"2015";"Rotterdam";17564;71
"Totaal";"1945 tot 1955";"2016";"Rotterdam";17399;71
"Totaal";"1945 tot 1955";"2017";"Rotterdam";17263;71
"Totaal";"1945 tot 1955";"2018";"Rotterdam";17136;71
"Totaal";"1945 tot 1955";"2019";"Rotterdam";16917;71
"Totaal";"1945 tot 1955";"2020";"Rotterdam";17107;72
"Totaal";"1945 tot 1955";"2021";"Rotterdam";17129;72
"Totaal";"1945 tot 1955";"2022";"Rotterdam";17137;72
"Totaal";"1945 tot 1955";"2023";"Rotterdam";17164;72
"Totaal";"1945 tot 1955";"2024";"Rotterdam";17026;72
"Totaal";"1945 tot 1955";"2025";"Rotterdam";16935;72
"Totaal";"1945 tot 1955";"2026";"Rotterdam";16808;72
"Totaal";"1945 tot 1955";"2012";"Utrecht (gemeente)";5218;78
"Totaal";"1945 tot 1955";"2013";"Utrecht (gemeente)";5219;79
"Totaal";"1945 tot 1955";"2014";"Utrecht (gemeente)";5216;78
"Totaal";"1945 tot 1955";"2015";"Utrecht (gemeente)";5234;78
"Totaal";"1945 tot 1955";"2016";"Utrecht (gemeente)";5235;78
"Totaal";"1945 tot 1955";"2017";"Utrecht (gemeente)";5257;78
"Totaal";"1945 tot 1955";"2018";"Utrecht (gemeente)";5186;78
"Totaal";"1945 tot 1955";"2019";"Utrecht (gemeente)";5191;79
"Totaal";"1945 tot 1955";"2020";"Utrecht (gemeente)";5146;79
"Totaal";"1945 tot 1955";"2021";"Utrecht (gemeente)";5157;80
"Totaal";"1945 tot 1955";"2022";"Utrecht (gemeente)";5155;79
"Totaal";"1945 tot 1955";"2023";"Utrecht (gemeente)";5111;79
"Totaal";"1945 tot 1955";"2024";"Utrecht (gemeente)";5082;78
"Totaal";"1945 tot 1955";"2025";"Utrecht (gemeente)";4883;79
"Totaal";"1945 tot 1955";"2026";"Utrecht (gemeente)";4774;79
"Totaal";"1985 tot 1995";"2012";"Nederland";1004001;115
"Totaal";"1985 tot 1995";"2013";"Nederland";1003671;115
"Totaal";"1985 tot 1995";"2014";"Nederland";1010317;114
"Totaal";"1985 tot 1995";"2015";"Nederland";1013086;114
"Totaal";"1985 tot 1995";"2016";"Nederland";1016491;114
"Totaal";"1985 tot 1995";"2017";"Nederland";1018131;114
"Totaal";"1985 tot 1995";"2018";"Nederland";1019713;114
"Totaal";"1985 tot 1995";"2019";"Nederland";1020370;114
"Totaal";"1985 tot 1995";"2020";"Nederland";1022792;114
"Totaal";"1985 tot 1995";"2021";"Nederland";1024788;114
"Totaal";"1985 tot 1995";"2022";"Nederland";1026729;114
"Totaal";"1985 tot 1995";"2023";"Nederland";1028315;115
"Totaal";"1985 tot 1995";"2024";"Nederland";1029741;115
"Totaal";"1985 tot 1995";"2025";"Nederland";1030267;115
"Totaal";"1985 tot 1995";"2026";"Nederland";1030884;115
"Totaal";"1985 tot 1995";"2012";"Amsterdam";41778;76
"Totaal";"1985 tot 1995";"2013";"Amsterdam";41886;76
"Totaal";"1985 tot 1995";"2014";"Amsterdam";41783;77
"Totaal";"1985 tot 1995";"2015";"Amsterdam";42097;77
"Totaal";"1985 tot 1995";"2016";"Amsterdam";42485;77
"Totaal";"1985 tot 1995";"2017";"Amsterdam";43000;77
"Totaal";"1985 tot 1995";"2018";"Amsterdam";44040;77
"Totaal";"1985 tot 1995";"2019";"Amsterdam";44153;77
"Totaal";"1985 tot 1995";"2020";"Amsterdam";44747;77
