"Woningtype";"Bouwjaarklasse";"Perioden";"Regio's";"Beginstand woningvoorraad (aantal)";"Gemiddelde oppervlakte (m2)"
"Totaal";"1945 tot 1955";"2021";"Agglomeratie Haarlem (CR)";4801;100
"Totaal";"1945 tot 1955";"2021";"Zaanstreek (CR)";2894;85
"Totaal";"1945 tot 1955";"2021";"Groot-Amsterdam (CR)";21988;73
"Totaal";"1945 tot 1955";"2021";"Het Gooi en Vechtstreek (CR)";8678;102
"Totaal";"1945 tot 1955";"2021";"Agglomeratie Leiden en Bollenstreek (CR)";8390;97
"Totaal";"1945 tot 1955";"2021";"Agglomeratie 's-Gravenhage (CR)";20851;78
"Totaal";"1945 tot 1955";"2021";"Delft en Westland (CR)";3678;94
"Totaal";"1945 tot 1955";"2021";"Oost-Zuid-Holland (CR)";4585;93
"Totaal";"1945 tot 1955";"2021";"Groot-Rijnmond (CR)";28561;79
"Totaal";"1945 tot 1955";"2021";"Zuidoost-Zuid-Holland (CR)";6435;88
"Totaal";"1945 tot 1955";"2021";"Zeeuwsch-Vlaanderen (CR)";3720;130
"Totaal";"1945 tot 1955";"2021";"Overig Zeeland (CR)";7958;105
"Totaal";"1945 tot 1955";"2021";"West-Noord-Brabant (CR)";13979;118
"Totaal";"1945 tot 1955";"2021";"Midden-Noord-Brabant (CR)";9553;120
"Totaal";"1945 tot 1955";"2021";"Noordoost-Noord-Brabant (CR)";14081;130
"Totaal";"1945 tot 1955";"2021";"Zuidoost-Noord-Brabant (CR)";17860;124
"Totaal";"1945 tot 1955";"2021";"Noord-Limburg (CR)";7512;146
"Totaal";"1945 tot 1955";"2021";"Midden-Limburg (CR)";6505;143
"Totaal";"1945 tot 1955";"2021";"Zuid-Limburg (CR)";23746;123
"Totaal";"1945 tot 1955";"2021";"Flevoland (CR)";3272;264
"Totaal";"1945 tot 1955";"2021";"Niet in te delen (CR)";0;
"Totaal";"1945 tot 1955";"2021";"Amsterdam";16010;62
"Totaal";"1945 tot 1955";"2021";"'s-Gravenhage (gemeente)";16080;73
"Totaal";"1945 tot 1955";"2021";"Rotterdam";17129;72
"Totaal";"1945 tot 1955";"2021";"Utrecht (gemeente)";5157;80
"Totaal";"1985 tot 1995";"2021";"Nederland";1024788;114
"Totaal";"1985 tot 1995";"2021";"Noord-Nederland (LD)";94132;123
"Totaal";"1985 tot 1995";"2021";"Oost-Nederland (LD)";226277;119
"Totaal";"1985 tot 1995";"2021";"West-Nederland (LD)";470617;103
"Totaal";"1985 tot 1995";"2021";"Zuid-Nederland (LD)";233762;126
"Totaal";"1985 tot 1995";"2021";"Niet in te delen (LD)";0;
"Totaal";"1985 tot 1995";"2021";"Groningen (PV)";27583;117
"Totaal";"1985 tot 1995";"2021";"Fryslân (PV)";33862;124
"Totaal";"1985 tot 1995";"2021";"Drenthe (PV)";32687;128
"Totaal";"1985 tot 1995";"2021";"Overijssel (PV)";66721;125
"Totaal";"1985 tot 1995";"2021";"Flevoland (PV)";39850;113
"Totaal";"1985 tot 1995";"2021";"Gelderland (PV)";119706;117
"Totaal";"1985 tot 1995";"2021";"Utrecht (PV)";78839;110
"Totaal";"1985 tot 1995";"2021";"Noord-Holland (PV)";162458;100
"Totaal";"1985 tot 1995";"2021";"Zuid-Holland (PV)";209669;102
"Totaal";"1985 tot 1995";"2021";"Zeeland (PV)";19651;120
"Totaal";"1985 tot 1995";"2021";"Noord-Brabant (PV)";166048;126
"Totaal";"1985 tot 1995";"2021";"Limburg (PV)";67714;125
"Totaal";"1985 tot 1995";"2021";"Niet in te delen (PV)";0;
"Totaal";"1985 tot 1995";"2021";"Oost-Groningen (CR)";6775;119
"Totaal";"1985 tot 1995";"2021";"Delfzijl en omgeving (CR)";1984;119
"Totaal";"1985 tot 1995";"2021";"Overig Groningen (CR)";18824;116
"Totaal";"1985 tot 1995";"2021";"Noord-Friesland (CR)";15728;119
"Totaal";"1985 tot 1995";"2021";"Zuidwest-Friesland (CR)";8079;135
"Totaal";"1985 tot 1995";"2021";"Zuidoost-Friesland (CR)";10055;121
"Totaal";"1985 tot 1995";"2021";"Noord-Drenthe (CR)";13305;128
"Totaal";"1985 tot 1995";"2021";"Zuidoost-Drenthe (CR)";10796;123
"Totaal";"1985 tot 1995";"2021";"Zuidwest-Drenthe (CR)";8586;133
"Totaal";"1985 tot 1995";"2021";"Noord-Overijssel (CR)";20884;125
"Totaal";"1985 tot 1995";"2021";"Zuidwest-Overijssel (CR)";9170;123
"Totaal";"1985 tot 1995";"2021";"Twente (CR)";36667;126
"Totaal";"1985 tot 1995";"2021";"Veluwe (CR)";39037;114
"Totaal";"1985 tot 1995";"2021";"Achterhoek (CR)";22600;124
"Totaal";"1985 tot 1995";"2021";"Arnhem/Nijmegen (CR)";43816;111
"Totaal";"1985 tot 1995";"2021";"Zuidwest-Gelderland (CR)";14253;129
"Totaal";"1985 tot 1995";"2021";"Utrecht (CR)";78839;110
"Totaal";"1985 tot 1995";"2021";"Kop van Noord-Holland (CR)";21590;114
"Totaal";"1985 tot 1995";"2021";"Alkmaar en omgeving (CR)";13832;112
"Totaal";"1985 tot 1995";"2021";"IJmond (CR)";13861;105
"Totaal";"1985 tot 1995";"2021";"Agglomeratie Haarlem (CR)";9425;96
"Totaal";"1985 tot 1995";"2021";"Zaanstreek (CR)";9209;103
"Totaal";"1985 tot 1995";"2021";"Groot-Amsterdam (CR)";85392;93
"Totaal";"1985 tot 1995";"2021";"Het Gooi en Vechtstreek (CR)";9149;102
"Totaal";"1985 tot 1995";"2021";"Agglomeratie Leiden en Bollenstreek (CR)";26203;108
"Totaal";"1985 tot 1995";"2021";"Agglomeratie 's-Gravenhage (CR)";44200;93
"Totaal";"1985 tot 1995";"2021";"Delft en Westland (CR)";13936;104
"Totaal";"1985 tot 1995";"2021";"Oost-Zuid-Holland (CR)";22303;114
"Totaal";"1985 tot 1995";"2021";"Groot-Rijnmond (CR)";82216;100
"Totaal";"1985 tot 1995";"2021";"Zuidoost-Zuid-Holland (CR)";20811;109
"Totaal";"1985 tot 1995";"2021";"Zeeuwsch-Vlaanderen (CR)";5603;124
"Totaal";"1985 tot 1995";"2021";"Overig Zeeland (CR)";14048;118
"Totaal";"1985 tot 1995";"2021";"West-Noord-Brabant (CR)";40083;120
"Totaal";"1985 tot 1995";"2021";"Midden-Noord-Brabant (CR)";28469;121
"Totaal";"1985 tot 1995";"2021";"Noordoost-Noord-Brabant (CR)";43319;128
"Totaal";"1985 tot 1995";"2021";"Zuidoost-Noord-Brabant (CR)";54177;131
"Totaal";"1985 tot 1995";"2021";"Noord-Limburg (CR)";17622;129
"Totaal";"1985 tot 1995";"2021";"Midden-Limburg (CR)";14335;130
"Totaal";"1985 tot 1995";"2021";"Zuid-Limburg (CR)";35757;122
"Totaal";"1985 tot 1995";"2021";"Flevoland (CR)";39850;113
"Totaal";"1985 tot 1995";"2021";"Niet in te delen (CR)";0;
"Totaal";"1985 tot 1995";"2021";"Amsterdam";45110;77
"Totaal";"1985 tot 1995";"2021";"'s-Gravenhage (gemeente)";22557;81
"Totaal";"1985 tot 1995";"2021";"Rotterdam";39966;88
"Totaal";"1985 tot 1995";"2021";"Utrecht (gemeente)";12168;86
"Totaal";"1995 tot 2005";"2021";"Nederland";834929;131
"Totaal";"1995 tot 2005";"2021";"Noord-Nederland (LD)";84427;151
"Totaal";"1995 tot 2005";"2021";"Oost-Nederland (LD)";198888;134
"Totaal";"1995 tot 2005";"2021";"West-Nederland (LD)";381305;121
"Totaal";"1995 tot 2005";"2021";"Zuid-Nederland (LD)";170309;141
"Totaal";"1995 tot 2005";"2021";"Niet in te delen (LD)";0;
"Totaal";"1995 tot 2005";"2021";"Groningen (PV)";26702;144
"Totaal";"1995 tot 2005";"2021";"Fryslân (PV)";31371;156
"Totaal";"1995 tot 2005";"2021";"Drenthe (PV)";26354;153
"Totaal";"1995 tot 2005";"2021";"Overijssel (PV)";62487;137
"Totaal";"1995 tot 2005";"2021";"Flevoland (PV)";44766;132
"Totaal";"1995 tot 2005";"2021";"Gelderland (PV)";91635;132
"Totaal";"1995 tot 2005";"2021";"Utrecht (PV)";67619;124
"Totaal";"1995 tot 2005";"2021";"Noord-Holland (PV)";125976;116
"Totaal";"1995 tot 2005";"2021";"Zuid-Holland (PV)";169345;120
"Totaal";"1995 tot 2005";"2021";"Zeeland (PV)";18365;144
"Totaal";"1995 tot 2005";"2021";"Noord-Brabant (PV)";123937;140
"Totaal";"1995 tot 2005";"2021";"Limburg (PV)";46372;144
"Totaal";"1995 tot 2005";"2021";"Niet in te delen (PV)";0;
"Totaal";"1995 tot 2005";"2021";"Oost-Groningen (CR)";7192;152
"Totaal";"1995 tot 2005";"2021";"Delfzijl en omgeving (CR)";1682;141
"Totaal";"1995 tot 2005";"2021";"Overig Groningen (CR)";17828;141
