"";"Subject";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte"
"";"House type";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling"
"";"Year of construction class";"Total";"1000 to 1850";"1945 to 1955";"1985 to 1995";"1995 to 2005";"2005 to 2015";"2015 to 2025";"Total";"1000 to 1850";"1945 to 1955";"1985 to 1995";"1995 to 2005";"2005 to 2015";"2015 to 2025";"Total";"1000 to 1850";"1945 to 1955";"1985 to 1995";"1995 to 2005";"2005 to 2015";"2015 to 2025";"Total";"1000 to 1850";"1945 to 1955";"1985 to 1995";"1995 to 2005";"2005 to 2015";"2015 to 2025";"Total";"1000 to 1850";"1945 to 1955";"1985 to 1995";"1995 to 2005";"2005 to 2015";"2015 to 2025";"Total";"1000 to 1850";"1945 to 1955";"1985 to 1995";"1995 to 2005";"2005 to 2015";"2015 to 2025"
"Regions";"Periods";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2"
"Amsterdam";"2024";"480852";"14,909";"16435";"46570";"33650";"38625";"49206";"60434";"1585";"3,560";"10,866";"7375";"6031";"5,569";"420418";"13324";"12,875";"35704";"26275";"32,594";"43637";"77";"93";"63";"77";"96";"96";"70";"117";"180";"83";"100";"129";"140";"148";"71";"83";"58";"70";"87";"89";"60"
"Amsterdam";"2025";"486769";"14,936";"16445";"46976";"32778";"38666";"54,888";"60593";"1578";"3,560";"10,865";"7342";"6033";"5776";"426176";"13,358";"12,885";"36111";"25436";"32633";"49112";"77";"94";"63";"77";"97";"96";"70";"117";"181";"84";"101";"129";"140";"148";"71";"83";"58";"70";"88";"89";"60"
"Amsterdam";"2026";"494449";"15163";"16167";"47362";"32760";"38534";"55,808";"61130";"1596";"3,559";"10,864";"7335";"6036";"5817";"433319";"13,567";"12608";"36498";"25425";"32,498";"49,991";"77";"93";"65";"77";"97";"97";"70";"119";"183";"87";"101";"130";"140";"149";"71";"83";"59";"70";"88";"89";"60"
"The Hague (municipality)";"2012";"241376";"1495";"16,000";"20643";"29428";"15049";"";"52544";"349";"1184";"2,362";"16300";"7,579";"";"188832";"1146";"14816";"18281";"13128";"7470";"";"96";"111";"73";"83";"114";"118";"";"147";"172";"134";"125";"135";"142";"";"81";"93";"68";"78";"87";"95";""
"The Hague (municipality)";"2013";"244880";"1522";"15,974";"21252";"29,695";"17075";"";"53010";"336";"1187";"2,353";"16299";"8103";"";"191870";"1186";"14,787";"18,899";"13,396";"8972";"";"95";"108";"73";"82";"113";"117";"";"147";"168";"135";"125";"135";"142";"";"81";"91";"68";"77";"86";"95";""
"The Hague (municipality)";"2014";"249,994";"1536";"16111";"22031";"29545";"19249";"";"53268";"328";"1200";"2,349";"16304";"8496";"";"196726";"1208";"14911";"19,682";"13241";"10753";"";"94";"107";"73";"81";"113";"112";"";"147";"166";"135";"125";"135";"142";"";"80";"91";"68";"76";"86";"89";""
"The Hague (municipality)";"2015";"251374";"1555";"16213";"22162";"29669";"19512";"";"53322";"323";"1200";"2,348";"16323";"8551";"";"198052";"1232";"15013";"19814";"13346";"10961";"";"94";"107";"73";"80";"113";"112";"";"147";"163";"135";"125";"135";"142";"";"80";"92";"68";"75";"86";"90";""
"The Hague (municipality)";"2016";"253210";"1550";"16213";"22169";"29675";"20141";"286";"53853";"326";"1203";"2,348";"16337";"8,896";"62";"199,357";"1224";"15010";"19821";"13338";"11245";"224";"94";"107";"73";"80";"113";"113";"107";"147";"162";"135";"125";"135";"141";"174";"80";"92";"68";"75";"86";"90";"88"
"The Hague (municipality)";"2017";"255103";"1421";"16108";"22491";"29732";"20239";"2,060";"54418";"327";"1197";"2,347";"16339";"8674";"822";"200685";"1,094";"14911";"20144";"13393";"11,565";"1238";"94";"111";"73";"80";"113";"112";"97";"147";"159";"136";"125";"135";"142";"144";"80";"96";"68";"74";"86";"90";"66"
"The Hague (municipality)";"2018";"256694";"1440";"16086";"22482";"29,947";"20119";"3,665";"55025";"326";"1195";"2,288";"16335";"8634";"1433";"201669";"1114";"14,891";"20194";"13612";"11485";"2,232";"94";"111";"73";"80";"113";"112";"92";"148";"164";"136";"127";"135";"142";"148";"79";"96";"68";"75";"86";"89";"56"
"The Hague (municipality)";"2019";"259264";"1453";"16094";"22,507";"30251";"20173";"5290";"55551";"328";"1199";"2,288";"16328";"8639";"1925";"203713";"1125";"14,895";"20219";"13923";"11,534";"3,365";"94";"112";"73";"80";"113";"112";"95";"148";"165";"137";"128";"135";"142";"150";"79";"96";"68";"75";"86";"89";"63"
"The Hague (municipality)";"2020";"262492";"1455";"16132";"22,508";"30330";"20147";"7459";"55,952";"328";"1201";"2,290";"16328";"8639";"2311";"206540";"1127";"14931";"20218";"14002";"11,508";"5148";"94";"113";"73";"80";"113";"112";"92";"148";"167";"137";"128";"136";"143";"153";"79";"97";"68";"75";"86";"89";"64"
"The Hague (municipality)";"2021";"265,959";"1449";"16080";"22,557";"30440";"20055";"10230";"56307";"328";"1207";"2291";"16331";"8639";"2,661";"209652";"1121";"14,873";"20266";"14109";"11416";"7,569";"94";"112";"73";"81";"113";"113";"89";"149";"167";"138";"128";"136";"143";"156";"79";"96";"68";"75";"86";"90";"66"
"The Hague (municipality)";"2022";"267654";"1465";"15821";"22,584";"30493";"20056";"11,599";"56735";"327";"1210";"2,288";"16320";"8632";"3,097";"210919";"1138";"14611";"20296";"14173";"11424";"8502";"94";"111";"74";"81";"113";"113";"91";"149";"167";"138";"128";"136";"143";"159";"79";"95";"68";"75";"86";"90";"66"
