"Populatie";"Kenmerken van huishoudens";"Perioden";"Regio's";"Particuliere huishoudens (x 1 000)";"Particuliere huishoudens relatief (%)";"Inkomen/Gemiddeld gestandaardiseerd inkomen (1 000 euro)";"Inkomen/Mediaan gestandaardiseerd inkomen (1 000 euro)";"Inkomen/Gemiddeld besteedbaar inkomen (1 000 euro)";"Inkomen/Mediaan besteedbaar inkomen (1 000 euro)"
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Barendrecht";19,2;100;37,4;33,9;57,7;50,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Barneveld";22,3;100;34,6;30,3;54,2;45,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Beek (L.)";7,3;100;32,6;29,8;47,1;40
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Beekdaelen";16,1;100;32,8;29,7;47,8;40,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Beemster";4;100;38,9;34,1;59,7;49,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Beesel";5,9;100;30,8;28,2;45,5;39,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Berg en Dal";15,7;100;32,1;28,7;46,7;38,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Bergeijk";7,8;100;36;31,6;54,5;45,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Bergen (L.)";5,6;100;31,8;29;47,3;41,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Bergen (NH.)";13,8;100;42,5;32,3;61;42,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Bergen op Zoom";30,3;100;31,3;28,5;45,2;38,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Berkelland";18,8;100;31,7;29,1;47,1;40,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Bernheze";12,6;100;35,8;31,3;55,2;45,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Best";12,8;100;36,2;31,8;54,1;45,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Beuningen";11,2;100;34,4;31;51,4;44
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Beverwijk";19;100;31;28,9;44,4;37,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"De Bilt";19,1;100;40,8;32,9;60,5;44
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Bladel";8,6;100;34,9;31,2;52,3;44,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Blaricum";4,9;100;61,7;35,8;93,1;50,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Bloemendaal";9,7;100;58,7;38,7;91,2;55,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Bodegraven-Reeuwijk";14,3;100;38,1;32,5;57,4;47,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Boekel";4,2;100;34,6;31,3;54,1;46,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Borger-Odoorn";11,2;100;30,9;28,5;45,5;39,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Borne";9,7;100;33,8;30,5;50,8;44,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Borsele";9,5;100;33,4;30,6;49,9;43,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Boxmeer";12,5;100;33,9;30,4;50,2;43,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Boxtel";14,4;100;35,9;29,6;52,6;40,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Breda";87,2;100;32,9;28,8;47,1;37
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Brielle";7,8;100;36,8;33,3;53,3;45,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Bronckhorst";15,4;100;35,2;30,5;52,3;43,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Brummen";9;100;34,1;30,1;50,3;42,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Brunssum";13,5;100;28,7;26,2;39,9;33,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Bunnik";6,4;100;38,5;35,4;57,5;50,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Bunschoten";8,3;100;35,2;31,4;55,6;48
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Buren";11;100;37,2;31,8;56,6;47
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Capelle aan den IJssel";31,1;100;31,9;28,6;45,3;37
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Castricum";15,7;100;38,1;33,7;56,4;47
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Coevorden";15,5;100;30,9;28,1;45,2;38,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Cranendonck";8,9;100;33,4;30,3;49,5;42,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Cuijk";11;100;33;29;48,9;40,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Culemborg";12,6;100;33,3;30,5;48,9;42,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Dalfsen";11,6;100;33,8;30,6;51,5;45,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Dantumadiel";7,8;100;28,8;26,3;43,4;37,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Delft";55;100;27;23,7;37;28,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Deurne";13,7;100;32,7;29,5;48,9;41,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Deventer";46,2;100;30,3;27,6;43,4;36,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Diemen";14,8;100;30,5;28,2;43,1;35,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Dinkelland";10,3;100;34,6;31,4;54,2;46,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Doesburg";5,2;100;29,8;26,9;42,2;36,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Doetinchem";25,8;100;31,3;28,2;45,5;38,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Dongen";11,1;100;33,5;30,6;50,1;43,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Dordrecht";54,7;100;31,2;28,2;44,6;36,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Drechterland";8,2;100;35,6;31;54,5;44,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Drimmelen";11,6;100;34,4;31,1;51,3;44,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Dronten";17,4;100;31,9;29,5;47,5;42,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Druten";7,9;100;33;30,2;49,4;43,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Duiven";10,6;100;33,2;30,4;49,8;43,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Echt-Susteren";14,2;100;32,1;29,2;46,6;39,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Edam-Volendam";14,8;100;37,3;32,7;57,4;47,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Ede";49,2;100;33,4;30;49,9;41,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Eemnes";4;100;37,3;33,1;55,6;46,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Eemsdelta";21,3;100;28,3;26;39,9;34,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Eersel";8,1;100;40,4;32,7;60,3;46,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Eijsden-Margraten";11;100;35,4;32,1;52,9;46,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Eindhoven";118,1;100;30,2;26,8;41,6;32,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Elburg";9,1;100;31,8;29,2;48,8;43,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Emmen";48,4;100;28,8;26,2;41,5;35,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Enkhuizen";8,6;100;33,2;28,2;48,6;37,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Enschede";76,6;100;26,6;24;37,5;30,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Epe";14,2;100;33,9;29,2;50,4;41,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Ermelo";11,2;100;34,9;30,1;51,7;42,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Etten-Leur";18,8;100;32,7;29,9;48,6;41,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"De Fryske Marren";22,2;100;31,8;28,7;46,9;40,1
